Feature1,Feature2,Class
1.689767493,-1.408241229,1
1.530286652,-1.459848146,1
-1.175041521,-1.447632911,0
-2.585395071,0.963532238,0
1.372245803,0.440695372,1
0.731936138,0.84975297,1
-2.106842068,-0.15600516,0
-0.936016045,0.543282487,0
-1.64699537,0.493409195,0
0.425361481,0.241426917,0
0.855819924,-0.430645568,1
1.676600045,-1.713484405,1
-2.069877915,0.252602241,0
-0.795777151,0.049385471,1
1.770795921,1.535576559,1
0.365788291,2.232971542,0
-0.052758713,-2.182368258,1
0.574030019,0.447236811,1
-1.064674977,-0.752371616,0
2.246588227,-1.514550245,1
-0.628449323,-0.207252229,0
-1.759061443,0.758449497,0
-1.155875676,-1.949941968,0
0.836468813,0.98926981,1
-1.129709781,-0.507833439,0
0.113127571,-0.82816734,1
0.84117822,-0.820860843,1
-0.988267315,1.877088535,0
-0.117843051,-1.093382718,1
0.671188681,-1.902230668,1
0.648680466,-0.428791581,1
-2.488648729,3.971277717,0
-0.204335042,-1.137253282,0
-1.88985543,0.365302119,0
-2.263303714,-0.056937254,0
2.368101039,2.793738018,1
0.623819528,-2.540924642,0
-0.920627193,-2.227106434,1
-1.092349054,0.287621654,0
0.12741457,1.727580684,1
-0.385519933,-1.365145545,0
1.464896348,-0.776185981,1
-2.524125116,0.703133161,0
-0.594157737,-0.008443576,0
-0.438517628,-1.921985813,0
-0.672381548,-1.005674375,0
-1.371191282,0.249809466,0
-1.66395194,1.361136297,0
2.066957733,-1.09011069,1
1.215800738,-0.508897418,1
0.818551891,0.186412811,1
1.661572186,1.302620099,1
1.043778068,-1.437727087,1
1.368238922,-0.005226994,1
-1.794455427,0.459708966,0
0.245544528,0.770006111,1
-0.254485473,-0.948393839,0
0.346107694,-1.19486936,1
2.917251729,0.638251221,1
0.484545392,1.186696746,0
1.495895955,0.573295777,1
-1.1734357,-0.792733932,0
-0.787917005,-2.001919465,0
-1.751593691,-0.396967601,0
-1.167228345,-0.713144089,0
2.031880921,1.398481442,1
-0.630206285,0.56885578,0
-0.943772123,-1.282068376,0
1.398635876,1.257316238,1
1.174138296,0.451893743,1
2.008594457,0.012887154,1
-0.020132764,-1.859455766,0
0.133684127,-1.400428667,1
-2.895644114,0.04091079,0
0.835744197,-2.182539824,1
-1.953565658,1.277058908,0
-1.765424935,-0.059247628,0
-0.235344225,-1.878115851,0
-2.505286114,0.656335063,0
-0.182557148,-2.461647591,0
1.488312084,-0.003100255,1
1.554571583,-0.378380857,1
-2.441763339,0.505716473,0
0.575358084,1.480362389,1
-1.634467551,-0.489226812,0
-0.398232373,0.280919734,0
-0.332293644,0.707517282,0
-0.569082024,2.319572584,0
0.568535804,-2.011352327,1
0.025602365,0.457280164,1
0.366016084,2.863664189,0
0.172583466,0.38210454,1
1.346411601,-0.060800746,1
-2.106585463,0.795119598,0
1.087570838,1.449808928,1
2.051175782,2.981032807,1
-0.595087417,1.877595524,0
1.249151636,-0.912769614,1
-3.365582304,-1.460069179,0
2.55809343,2.398903383,1
-1.473117459,0.796140786,0
1.333279624,1.48436573,1
0.960763098,-0.70939313,1
2.904475152,0.353782489,1
-0.355057224,1.698855042,0
0.029499946,1.632908748,0
-1.209658916,-1.277852239,0
-0.965103437,1.584634287,0
0.036211102,0.889946465,1
-1.325959998,-0.961945854,0
-0.519638272,0.687360576,0
-1.432296535,1.329750592,0
0.710663894,0.515413794,1
-0.639953916,-1.279424253,0
-2.491406401,0.747836088,0
1.213711554,-1.526141112,1
-0.845231833,-0.582681694,0
-0.461205723,-2.303557792,1
0.670530794,1.508869077,1
-0.311773194,-1.106268716,0
-0.918272979,-0.753641657,0
-0.016799277,-1.190939538,1
-1.970049112,1.507610004,0
-1.06598056,2.101219852,0
-0.586106424,-1.822574301,1
0.157556958,-2.38212517,0
-2.01941768,1.240077721,0
1.394774511,2.019332741,1
-0.073239746,0.336416762,1
0.931462265,-2.098855174,1
2.225539377,0.46205611,1
-0.743208426,0.768103977,0
1.165968545,1.375552895,1
1.036284725,0.987639209,0
-0.480535891,1.96874344,0
-0.337421167,-1.875967534,0
1.037059839,1.536249642,1
1.775142985,-0.134888219,1
1.347801435,2.13539287,1
-0.759920578,0.090195101,1
0.801217586,0.09148195,1
2.463609771,0.732638984,1
0.799982392,0.377570099,1
-1.82890263,-1.049369585,0
0.181484136,-1.810056717,1
-0.247044465,-1.427388074,0
-0.999606177,-0.417080787,0
-1.42776652,-0.713547397,0
-0.041866674,-2.426189131,0
-1.979688475,1.090423768,0
-0.014256704,-3.034583086,1
-0.996634184,1.780461233,0
1.288759839,-0.499123183,1
0.252925937,-0.0358685,1
1.054441078,1.530869279,1
1.544009678,0.789800212,1
1.007604529,0.771277844,0
0.329927178,0.769926896,1
0.402934323,0.567387529,1
-1.567787,0.41863347,0
-0.920850901,-0.589679622,0
0.428323404,0.650792973,1
-1.233599894,1.524094,0
1.082696527,2.309021607,1
0.586784027,2.596684222,0
1.487531204,0.877230763,1
-0.382642587,-3.085661043,1
-1.898676671,0.120355775,0
-0.391473272,-1.401405736,0
-1.618693856,0.407756941,0
-0.542186718,-1.902306507,1
0.020544327,-2.366982804,1
0.584983835,0.21686923,1
0.763407415,0.288366915,1
1.075866005,-2.103379237,1
0.786763897,-1.282929797,0
0.940286457,2.340513894,1
0.309159967,1.60435977,1
0.551292712,0.762274089,1
-0.378923038,-2.341745326,0
0.560552413,1.657106413,1
2.002497805,0.939459245,0
-0.940573516,-0.638869605,0
-2.047810169,-0.791940764,0
0.391948751,1.080210509,1
-1.457497125,0.854693345,0
-0.009199808,-1.194384914,1
1.174737078,0.878105792,0
1.495525288,0.538748647,1
-1.257557843,-0.74953545,0
0.952434393,0.739699663,1
1.594970411,1.211660031,1
-0.801477919,1.636363845,0
0.883599815,-0.699599845,1
1.144929534,2.669950919,1
-0.435396462,0.715716028,0
1.040416703,1.108612651,1
1.883797668,0.782433457,0
1.829367106,1.542978261,1
-0.855041326,-0.109436463,0
